"Model.No","Predictors","Time","DIC","xScore","yScore"
131,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*temp + moisture*soil5 + deficit*temp","2016-05-27 15:21:51",-1.46153995473806e+34,-7.58316097677442,143899.94052647
132,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*temp + temp*soil5 + deficit*temp","2016-05-27 16:01:55",-1.62394507476369e+34,-8.17080727331924,143169.945736506
134,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*soil5 + temp*soil5 + deficit*temp","2016-05-27 16:44:35",-1.68152404316941e+34,-7.87347413237974,144598.995425595
135,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*soil5 + deficit*soil5 + deficit*temp","2016-05-27 17:27:14",-1.62376038728314e+34,-6.93392852045015,144147.003956047
137,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*deficit + moisture*temp + moisture*soil5 + deficit*temp","2016-05-27 18:08:03",-1.53124930281411e+34,-8.60086295308964,143759.14401586
138,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*deficit + moisture*temp + temp*soil5 + deficit*temp","2016-05-27 18:49:26",-1.72179682829218e+34,-9.59228527401114,144690.534379119
140,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*deficit + moisture*soil5 + temp*soil5 + deficit*temp","2016-05-27 19:32:48",-1.66739694043348e+34,-9.35560177779936,143533.841182418
141,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*deficit + moisture*soil5 + deficit*soil5 + deficit*temp","2016-05-27 20:16:15",-1.64302539123436e+34,-7.85653760760161,144106.201471816
142,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*temp + moisture*soil5 + temp*soil5 + deficit*temp","2016-05-27 20:59:51",-1.7621821065895e+34,-8.63948407780629,144133.81525513
143,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*temp + moisture*soil5 + deficit*soil5 + deficit*temp","2016-05-27 21:43:26",-1.55282178251078e+34,-7.42215396985278,143609.53400879
144,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*soil5 + temp*soil5 + deficit*soil5 + deficit*temp","2016-05-27 22:29:32",-1.81635396631103e+34,-7.93694399282221,144248.239152111
145,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*deficit + moisture*temp + moisture*soil5 + temp*soil5 + deficit*temp","2016-05-27 23:13:30",-1.72262847912966e+34,-9.45750652913944,143853.799981834
146,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*deficit + moisture*temp + moisture*soil5 + deficit*soil5 + deficit*temp","2016-05-27 23:57:27",-1.636050553337e+34,-7.97200955601564,143128.419174906
147,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*deficit + moisture*temp + temp*soil5 + deficit*soil5 + deficit*temp","2016-05-28 00:41:29",-1.78130934448146e+34,-9.11643966107048,143644.073251787
148,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*deficit + moisture*soil5 + temp*soil5 + deficit*soil5 + deficit*temp","2016-05-28 01:28:26",-1.87288281909924e+34,-8.9518827780056,145347.619724275
149,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*temp + moisture*soil5 + temp*soil5 + deficit*soil5 + deficit*temp","2016-05-28 02:15:17",-1.90173368330887e+34,-8.48999565402232,146059.847651493
150,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*deficit + moisture*temp + moisture*soil5 + temp*soil5 +deficit*soil5 + deficit*temp","2016-05-28 03:03:09",-1.85442840724176e+34,-9.3699728536049,144545.147106927
300,"~ temp + moisture + deficit + surplus + soil4 +u1 + u2 + u3 + moisture*deficit + moisture*temp + moisture*soil4 + temp*soil4 +deficit*soil4 + deficit*temp","2016-05-28 03:48:05",-1.58017907872142e+34,-8.88774248586329,143724.347145806
299,"~ temp + moisture + deficit + surplus + soil4 +u1 + u2 + u3 + moisture*temp + moisture*soil4 + temp*soil4 + deficit*soil4 + deficit*temp","2016-05-28 04:32:02",-1.57789775014738e+34,-8.04868165381125,143849.548063512
298,"~ temp + moisture + deficit + surplus + soil4 +u1 + u2 + u3 + moisture*deficit + moisture*soil4 + temp*soil4 + deficit*soil4 + deficit*temp","2016-05-28 05:16:07",-1.505288254056e+34,-8.47756982947228,142683.618050528
297,"~ temp + moisture + deficit + surplus + soil4 +u1 + u2 + u3 + moisture*deficit + moisture*temp + temp*soil4 + deficit*soil4 + deficit*temp","2016-05-28 05:58:20",-1.49101538284157e+34,-8.39083680925449,142754.336138341
294,"~ temp + moisture + deficit + surplus + soil4 +u1 + u2 + u3 + moisture*soil4 + temp*soil4 + deficit*soil4 + deficit*temp","2016-05-28 06:41:40",-1.50637069193699e+34,-7.56657656584851,143509.522926835
293,"~ temp + moisture + deficit + surplus + soil4 +u1 + u2 + u3 + moisture*temp + moisture*soil4 + deficit*soil4 + deficit*temp","2016-05-28 07:23:41",-1.47276596478809e+34,-7.22916094957787,144102.814059967
290,"~ temp + moisture + deficit + surplus + soil4 +u1 + u2 + u3 + moisture*deficit + moisture*soil4 + temp*soil4 + deficit*temp","2016-05-28 08:05:10",-1.45248780624592e+34,-8.61799864436875,142475.615733292
286,"~ temp + moisture + deficit + surplus + soil4 +u1 + u2 + u3 + temp*soil4 + deficit*soil4 + deficit*temp","2016-05-28 08:45:56",-1.43548613705695e+34,-5.17727466442835,143759.280884216
284,"~ temp + moisture + deficit + surplus + soil4 +u1 + u2 + u3 + moisture*soil4 + temp*soil4 + deficit*temp","2016-05-28 09:26:59",-1.46835629095026e+34,-7.69966616387896,144142.712768063
