"Model.No","Predictors","Time","DIC","xScore","yScore"
148,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*deficit + moisture*soil5 + temp*soil5 + deficit*soil5 + deficit*temp","2016-05-31 12:29:53",-1.89918596412176e+34,-4.9025087684858,146043.422658834
149,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*temp + moisture*soil5 + temp*soil5 + deficit*soil5 + deficit*temp","2016-05-31 15:36:18",-1.92422366923375e+34,-4.8226303855786,146514.371056965
150,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*deficit + moisture*temp + moisture*soil5 + temp*soil5 +deficit*soil5 + deficit*temp","2016-05-31 18:46:30",-1.90102081922734e+34,-4.83177234633104,145352.560486061
